Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Branthwaite,EVE,DEF,7,1,0,0,1,49,1.2,387,£4,0.3%,17,0,0,0,2021
Cundle,WOL,MID,7,0,0,1,0,32,1.8,179,£4.4,0.1%,1,0,0,0,2021
Kalu,WAT,MID,7,0,0,1,0,23,1.8,221,£4.9,0.0%,6,0,0,0,2021
Summerville,LEE,MID,6,0,0,0,0,20,1.0,126,£4.5,0.0%,1,0,0,0,2021
Toti,WOL,DEF,6,0,0,0,0,52,1.5,360,£4.4,0.0%,6,0,0,0,2021
Connolly,BHA,FWD,5,0,0,0,0,12,1.2,154,£5.3,0.1%,1,0,0,0,2021
Smallbone,SOU,MID,5,0,0,0,0,25,1.2,132,£4.5,0.0%,5,0,0,0,2021
Sierralta,WAT,DEF,5,0,0,0,0,57,1.0,427,£4.3,0.0%,9,1,0,0,2021
Sarmiento,BHA,MID,5,0,0,0,0,15,1.0,44,£4.5,0.0%,2,0,0,0,2021
Nkoulou,WAT,DEF,5,0,0,0,0,27,1.7,167,£4.4,0.0%,2,0,0,0,2021
Bidstrup,BRE,MID,4,0,0,0,0,11,1.0,36,£4.4,0.1%,0,0,0,0,2021
Stephens,BUR,MID,4,0,0,1,0,11,1.3,123,£4.4,0.0%,0,0,0,0,2021
Riedewald,CRY,MID,4,0,0,0,0,16,1.3,116,£4.7,0.0%,5,0,0,0,2021
Ward,LEI,GKP,3,0,0,0,0,17,3.0,90,£4,3.4%,1,0,0,0,2021
Mendy,MCI,DEF,3,0,0,0,1,22,3.0,78,£5.2,0.3%,1,0,0,0,2021
Rodon,TOT,DEF,3,0,0,0,0,17,1.0,87,£4.2,0.1%,3,0,0,0,2021
Fletcher,WAT,FWD,3,0,0,0,0,5,1.0,28,£4.8,0.2%,0,0,0,0,2021
Ruddy,WOL,GKP,3,0,0,0,0,20,1.5,135,£4.3,0.2%,3,0,0,0,2021
Thompson,BRE,DEF,3,0,0,0,0,12,1.5,146,£4.4,0.0%,3,0,0,0,2021
Gbamin,EVE,MID,3,0,0,0,0,10,1.0,65,£4.4,0.0%,2,0,0,0,2021
Archer,AVL,FWD,3,0,0,0,0,3,1.0,24,£4.5,0.8%,0,0,0,0,2021
Bate,LEE,MID,3,0,0,0,0,4,1.0,145,£4.5,0.0%,4,0,0,0,2021
Onyango,EVE,MID,3,0,0,0,0,8,1.0,27,£4.5,0.0%,0,0,0,0,2021
Springett,NOR,MID,3,0,0,0,0,11,1.0,140,£4.5,0.0%,6,0,0,0,2021
Steele,BHA,GKP,2,0,0,0,0,17,2.0,90,£3.9,2.8%,2,0,0,0,2021
Bailly,MUN,DEF,2,0,0,0,0,22,0.5,216,£4.9,0.1%,4,1,0,0,2021
Deeney,WAT,FWD,2,0,0,0,0,5,1.0,23,£5.4,0.3%,1,0,0,0,2021
Areola,WHU,GKP,2,0,0,0,0,11,2.0,90,£4.7,0.7%,1,0,0,0,2021
Klaesson,LEE,GKP,2,0,0,0,0,12,2.0,35,£4.3,0.1%,0,0,0,0,2021
Balogun,ARS,FWD,2,0,0,0,0,2,1.0,69,£4.7,0.2%,1,0,0,0,2021
Marí,ARS,DEF,1,0,0,0,0,35,0.5,180,£4.2,0.1%,4,0,0,0,2021
Steer,AVL,GKP,1,0,0,0,0,13,1.0,90,£3.9,1.7%,3,0,0,0,2021
Trézéguet,AVL,MID,1,0,0,0,0,4,1.0,10,£5.4,0.0%,1,0,0,0,2021
Wesley,AVL,FWD,1,0,0,0,0,2,1.0,1,£5.4,0.1%,0,0,0,0,2021
Davis,AVL,FWD,1,0,0,0,0,2,1.0,11,£4.5,1.4%,0,0,0,0,2021
Fosu,BRE,MID,1,0,0,0,0,4,1.0,16,£5.1,0.0%,0,0,0,0,2021
