Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Otamendi,MCI,DEF,100,1,2,9,10,640,3.3,2592,£5.9,3.2%,28,0,0,0,2016
Fraser,BOU,MID,100,3,9,7,8,345,3.6,1764,£4.6,1.2%,32,0,0,0,2016
Brunt,WBA,DEF,99,3,4,4,11,462,3.2,2477,£4.8,2.3%,37,0,0,0,2016
Blind,MUN,DEF,98,1,2,9,14,525,4.3,1830,£5.2,4.7%,17,0,0,0,2016
Fonte,WHU,DEF,98,0,0,11,10,592,3.0,2934,£5.3,3.2%,46,0,0,0,2016
van Aanholt,CRY,DEF,98,5,1,5,9,534,3.1,2498,£4.9,3.6%,53,0,0,0,2016
Matip,LIV,DEF,97,1,0,9,7,557,3.3,2457,£5.4,3.2%,25,0,0,0,2016
Herrera,MUN,MID,97,1,6,13,11,559,3.1,2465,£6.2,2.2%,18,0,0,0,2016
Origi,LIV,FWD,96,7,4,7,8,297,2.8,1469,£6,5.5%,18,0,0,0,2016
Albrighton,LEI,MID,95,2,6,8,3,468,2.9,2412,£5,2.5%,47,0,0,0,2016
Kolarov,MCI,DEF,95,1,1,9,7,558,3.3,2535,£5.8,3.1%,27,1,0,0,2016
Martial,MUN,MID,95,4,6,9,9,302,3.8,1553,£9.2,2.5%,13,0,0,0,2016
Fer,SWA,MID,95,6,2,4,5,429,2.8,2405,£4.8,4.6%,49,0,0,0,2016
Mee,BUR,DEF,94,1,2,9,6,592,2.8,3015,£4.4,2.2%,49,2,0,0,2016
Shawcross,STK,DEF,94,1,2,9,6,549,2.7,3150,£4.9,1.7%,53,2,0,0,2016
Mawson,SWA,DEF,94,4,0,7,9,541,3.5,2430,£4.6,1.9%,45,2,0,0,2016
McArthur,CRY,MID,93,5,3,3,8,363,3.2,1999,£4.7,1%,39,0,0,0,2016
Dier,TOT,MID,93,2,0,16,4,505,2.6,3043,£5,5.1%,24,0,0,0,2016
