Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Jones,LIV,MID,52,3,1,4,4,206,2.9,1029,£4.9,0.4%,15,0,0,0,2022
Cook,BOU,MID,51,0,2,3,1,280,1.8,1712,£4.9,0.1%,39,0,0,0,2022
Kristensen,LEE,DEF,51,3,1,2,1,322,2.0,1957,£4.7,0.4%,53,0,0,0,2022
Amartey,LEI,DEF,51,0,0,5,4,328,2.5,1608,£3.9,0.7%,27,0,0,0,2022
Digne,AVL,DEF,50,1,0,3,4,234,1.8,1492,£4.5,1.2%,25,1,0,0,2022
Mangala,NFO,MID,50,1,1,5,0,190,1.9,1543,£4.9,0.0%,24,0,0,0,2022
Chalobah,CHE,DEF,49,0,0,5,1,318,2.0,1601,£4.4,0.6%,24,1,0,0,2022
Tosin,FUL,DEF,49,1,0,3,1,353,2.0,2084,£4.4,0.1%,39,0,0,0,2022
Konaté,LIV,DEF,49,0,0,7,0,305,2.7,1551,£4.9,1.3%,22,1,0,0,2022
Walcott,SOU,MID,49,2,2,2,1,140,2.5,1123,£4.8,0.0%,30,1,0,0,2022
Adams,LEE,MID,47,0,0,5,1,290,2.0,2156,£4.9,0.1%,36,0,0,0,2022
Loftus-Cheek,CHE,MID,46,0,1,5,1,228,1.8,1530,£5,0.1%,23,1,0,0,2022
Aribo,SOU,MID,46,2,0,1,3,161,2.2,1219,£5,0.3%,24,0,0,0,2022
Colwill,BHA,DEF,46,0,2,3,6,249,2.7,1218,£4.4,0.2%,21,0,0,0,2022
Azpilicueta,CHE,DEF,45,0,0,3,4,242,1.8,1521,£4.7,1.2%,21,1,0,0,2022
James,FUL,MID,45,2,1,1,2,152,1.9,802,£5.9,0.2%,18,0,0,0,2022
Justin,LEI,DEF,45,0,2,5,2,263,3.2,1252,£4.1,0.4%,25,0,0,0,2022
Jonny,WOL,DEF,45,1,0,5,0,219,2.5,1257,£4.3,0.3%,21,0,0,0,2022
Zanka,BRE,DEF,45,0,1,4,4,191,2.5,1097,£3.9,0.9%,15,1,0,0,2022
Kamaldeen,SOU,MID,45,2,1,3,3,133,2.5,959,£4.9,0.0%,20,0,0,0,2022
Kamara,AVL,MID,44,0,1,3,0,235,1.8,1773,£4.8,0.1%,30,0,0,0,2022
James,CHE,DEF,44,1,2,2,5,286,2.8,1242,£5.8,10.7%,17,0,0,0,2022
Clyne,CRY,DEF,44,0,0,3,0,246,2.0,1638,£4.5,0.1%,23,0,0,0,2022
Ogbonna,WHU,DEF,44,0,0,4,4,217,2.8,1234,£4.4,0.1%,19,0,0,0,2022
Solomon,FUL,MID,44,4,0,0,1,156,2.3,560,£4.9,0.1%,11,0,0,0,2022
João Félix,CHE,FWD,44,4,0,2,7,126,2.8,936,£7.1,1.7%,16,0,0,0,2022
Mepham,BOU,DEF,43,0,0,5,6,369,1.7,2197,£4.3,0.1%,52,2,0,0,2022
Mateta,CRY,FWD,41,2,0,3,3,96,1.4,748,£5.1,0.3%,10,0,0,0,2022
Ndidi,LEI,MID,41,0,0,1,0,257,1.5,1672,£4.8,0.2%,39,0,0,0,2022
Soumaré,LEI,MID,41,0,0,6,0,238,1.6,1624,£4.4,0.3%,30,0,0,0,2022
Aït-Nouri,WOL,DEF,41,1,0,4,0,194,2.0,1067,£4.1,0.7%,18,1,0,0,2022
Scamacca,WHU,FWD,41,3,0,3,7,110,2.6,921,£6.6,0.6%,12,0,0,0,2022
Bueno,WOL,DEF,41,0,1,3,3,239,2.0,1307,£3.8,3.6%,29,0,0,0,2022
Fábio Vieira,ARS,MID,40,1,2,2,2,134,1.8,500,£5.6,0.1%,5,0,0,0,2022
